timestamp,epoch_seconds,power_draw_w,power_limit_w,gpu_utilization,memory_used_mb,temperature_gpu
2026-07-15T13:12:28.417027,240.415,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:29.021069,241.019,7.1,0.0,17.0,0.0,40.0
2026-07-15T13:12:29.614820,241.613,7.14,0.0,15.0,0.0,39.0
2026-07-15T13:12:30.203358,242.201,7.14,0.0,16.0,0.0,39.0
2026-07-15T13:12:30.800577,242.799,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:31.400278,243.398,7.14,0.0,15.0,0.0,39.0
2026-07-15T13:12:31.996678,243.995,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:32.598152,244.596,7.11,0.0,14.0,0.0,39.0
2026-07-15T13:12:33.159115,245.157,7.15,0.0,14.0,0.0,39.0
2026-07-15T13:12:33.763795,245.762,7.15,0.0,14.0,0.0,39.0
2026-07-15T13:12:34.363278,246.361,7.17,0.0,14.0,0.0,39.0
2026-07-15T13:12:34.925401,246.923,7.15,0.0,14.0,0.0,39.0
2026-07-15T13:12:35.488932,247.487,7.16,0.0,15.0,0.0,39.0
2026-07-15T13:12:36.081928,248.08,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:36.680393,248.678,7.18,0.0,18.0,0.0,39.0
2026-07-15T13:12:37.282915,249.281,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:37.846049,249.844,7.18,0.0,15.0,0.0,39.0
2026-07-15T13:12:38.446839,250.445,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:39.048809,251.047,7.19,0.0,15.0,0.0,39.0
2026-07-15T13:12:39.612176,251.61,7.17,0.0,18.0,0.0,39.0
2026-07-15T13:12:40.205990,252.204,7.18,0.0,15.0,0.0,39.0
2026-07-15T13:12:40.768271,252.766,7.16,0.0,15.0,0.0,39.0
2026-07-15T13:12:41.347367,253.345,7.15,0.0,14.0,0.0,39.0
2026-07-15T13:12:41.949431,253.947,7.14,0.0,15.0,0.0,39.0
2026-07-15T13:12:42.543462,254.541,7.19,0.0,17.0,0.0,39.0
2026-07-15T13:12:43.146042,255.144,7.18,0.0,15.0,0.0,39.0
2026-07-15T13:12:43.743853,255.742,7.17,0.0,16.0,0.0,39.0
2026-07-15T13:12:44.358233,256.356,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:12:44.918192,256.916,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:12:45.480509,257.478,7.18,0.0,16.0,0.0,39.0
2026-07-15T13:12:46.081866,258.08,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:46.647371,258.645,7.15,0.0,16.0,0.0,39.0
2026-07-15T13:12:47.250057,259.248,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:47.846039,259.844,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:48.446162,260.444,7.15,0.0,18.0,0.0,39.0
2026-07-15T13:12:49.043003,261.041,7.19,0.0,15.0,0.0,39.0
2026-07-15T13:12:49.645377,261.643,7.16,0.0,16.0,0.0,39.0
2026-07-15T13:12:50.245085,262.243,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:50.835808,262.834,7.17,0.0,15.0,0.0,39.0
2026-07-15T13:12:51.400037,263.398,7.17,0.0,17.0,0.0,39.0
2026-07-15T13:12:51.960221,263.958,7.21,0.0,15.0,0.0,39.0
2026-07-15T13:12:52.555698,264.554,7.17,0.0,16.0,0.0,39.0
2026-07-15T13:12:53.154622,265.153,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:12:53.755532,265.753,7.11,0.0,15.0,0.0,39.0
2026-07-15T13:12:54.349603,266.348,7.17,0.0,15.0,0.0,39.0
2026-07-15T13:12:54.913153,266.911,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:55.511138,267.509,7.17,0.0,18.0,0.0,39.0
2026-07-15T13:12:56.107458,268.105,7.18,0.0,14.0,0.0,39.0
2026-07-15T13:12:56.707478,268.705,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:12:57.286138,269.284,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:12:57.886593,269.885,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:12:58.454342,270.452,7.17,0.0,14.0,0.0,39.0
2026-07-15T13:12:59.054161,271.052,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:12:59.652020,271.65,7.19,0.0,16.0,0.0,39.0
2026-07-15T13:13:00.255506,272.253,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:00.849699,272.848,7.16,0.0,15.0,0.0,39.0
